[15:41:25.2210561] [Lua] [TajsGraphBM] prepatch[1] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.SpotLight_1.LightComponent0 intensity=160.000 indirect=1.000 specular=1.000 attenuation=7462.127 outer=80.000 inner=80.000 source=448.000 soft=0.000 length=0.000 mobility=1 cast=true
[15:41:25.2217065] [Lua] [TajsGraphBM] prepatch[2] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_225.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2218482] [Lua] [TajsGraphBM] prepatch[3] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_65.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2219779] [Lua] [TajsGraphBM] prepatch[4] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_39.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2221766] [Lua] [TajsGraphBM] prepatch[5] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_201.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2222924] [Lua] [TajsGraphBM] prepatch[6] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_213.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2225640] [Lua] [TajsGraphBM] prepatch[7] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_58.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2226967] [Lua] [TajsGraphBM] prepatch[8] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_171.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2228659] [Lua] [TajsGraphBM] prepatch[9] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_195.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2230203] [Lua] [TajsGraphBM] prepatch[10] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_188.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
[15:41:25.2234213] [Lua] [TajsGraphBM] prepatch[11] key=SpotLightComponent /Game/Shopping_mall/Maps/ShoppingMapFinalPlayable.ShoppingMapFinalPlayable:PersistentLevel.RectLight_293.LightComponent0 intensity=17.000 indirect=1.000 specular=1.000 attenuation=1200.000 outer=90.000 inner=90.000 source=0.000 soft=0.000 length=0.000 mobility=0 cast=false
